method,label,set_precision,set_recall,set_f1,ordered_precision,lcs_r,kendall_tau,transition_acc
semantic_only,Semantic Only (BL),0.2327,0.3295,0.2661,0.1226,0.2597,0.0421,0.0699
beam,Beam Search,0.2331,0.2661,0.2401,0.1486,0.2127,0.0893,0.0989
hybrid,Hybrid Sem-Graph,0.2526,0.3167,0.2719,0.13,0.2477,0.0446,0.082
ts_matched_sem_sort,TS-Matched + Sem-Sort,0.2327,0.3295,0.2661,0.1226,0.2597,0.0421,0.0699
ts_matched_greedy_graph,TS-Matched + Greedy-Graph,0.2327,0.3295,0.2661,0.1205,0.2595,0.038,0.0717
ts_matched_greedy_gnn,TS-Matched + Greedy-GNN,0.2327,0.3295,0.2661,0.1198,0.2585,0.0364,0.0688
ts_matched_optimal_perm,TS-Matched + Optimal-Perm,0.2327,0.3295,0.2661,0.1392,0.2668,0.0753,0.0841
ts_matched_hybrid_rerank,TS-Matched + Hybrid-Rerank,0.2327,0.3295,0.2661,0.1415,0.2673,0.0799,0.0842
