method,ordered_precision,lcs_r,kendall_tau,transition_acc
TS-Hybrid + Sem-Sort,0.1340023415286837,0.24891955176450914,0.05184813513965547,0.08364943970563639
TS-Hybrid + Hybrid-Rerank,0.15397223615989292,0.2572002007024586,0.09178792440207391,0.097673524000669
TS-Hybrid + Random (mean),0.10795082789764175,0.23917323967218598,-0.0002548921224284997,0.06832540558621844
